experiment_name,plate,chem_id,frag_id,core_id,lib_plate_id,lib_well,batch,molecule_name,batch_name,cell_line,cell_library,gene_symbol,reporter,protein_reporter,channel,pos_control,neg_control,screening,compound_class,n_doses,chem_min,chem_max,chem_min_raw,chem_max_raw,ec05,conc_at_max_activity,conc_at_pos_ctrl_ec05_activity,conc_at_pos_ctrl_ec50_activity,conc_at_05_activity,activity_status,rollover_status,saturation_status,direction,drc_curve,drc_curve_no_ctrls,emin_estimate,emin_std_error,emin_ci_lower,emin_ci_upper,emax_estimate,emax_std_error,emax_ci_lower,emax_ci_upper,slope_estimate,slope_std_error,slope_ci_lower,slope_ci_upper,ec50_estimate,ec50_std_error,ec50_ci_lower,ec50_ci_upper,emin_vs_pos_ctrl_estimate,emin_vs_pos_ctrl_std_error,emin_vs_pos_ctrl_ci_lower,emin_vs_pos_ctrl_ci_upper,emax_vs_pos_ctrl_estimate,emax_vs_pos_ctrl_std_error,emax_vs_pos_ctrl_ci_lower,emax_vs_pos_ctrl_ci_upper,max_pred_vs_pos_ctrl_estimate,max_pred_vs_pos_ctrl_std_error,max_pred_vs_pos_ctrl_ci_lower,max_pred_vs_pos_ctrl_ci_upper,ec50_clean,ec50_group,status,qc_flag_primary,qc_flag,version
OPA_PXR-048,Plate01,OCNT-2469116||NA|NA|TL-001,OCNT-2469116,,NA,NA,TL-001,OCNT-2469116,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-7.06812719718228,1.82253600655724e-05,-7.1072604691151,-5.89605647477895,-7.1072604691151,YES,YES,NO,UP,OCNT-2469116-TL-001_c6385.png,OCNT-2469116-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,602230.828263978,59295.1166276164,522053.817133328,755131.899545629,1.04578128411085,0.120611998987571,0.816503288007445,1.29399781002059,-5.828863755,0.127334405038374,-6.0216125,-5.519628,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,1.08997646839093,0.137224391141932,0.900468773129714,1.43772232364536,0.948318414738198,0.0593340899034109,0.833822863202435,1.0702531928562,-5.828863755,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
OPA_PXR-048,Plate01,OCNT-2469097||NA|NA|TL-001,OCNT-2469097,,NA,NA,TL-001,OCNT-2469097,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-5.5766918912288,4.94966278635627e-05,-5.58952822927539,-4.86694340061652,-5.58952822927539,YES,NO,NO,UP,OCNT-2469097-TL-001_c6385.png,OCNT-2469097-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,584143.100593821,45696.6132553144,507476.826720208,687224.771453107,1.77135091279766,0.204471461616302,1.42101324329073,2.20344593769585,-4.84524335,0.0708490121900763,-4.972841,-4.69439375,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,1.04826623013205,0.106463051387343,0.870643791890836,1.28939791031877,0.931967883297206,0.0596131207700142,0.821994044571658,1.0568967197341,-4.84524335,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
OPA_PXR-048,Plate01,OCNT-2469083||NA|NA|TL-001,OCNT-2469083,,NA,NA,TL-001,OCNT-2469083,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-5.68051155554047,4.94966278635627e-05,-5.63936482102896,-5.11733372596041,-5.63936482102896,YES,NO,YES,UP,OCNT-2469083-TL-001_c6385.png,OCNT-2469083-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,469889.045689542,20323.4106299953,432798.559810222,511375.7576648,2.79899333444365,0.534182148835202,2.04307656169978,4.05546756092616,-5.2088307675,0.0351917703783361,-5.269821,-5.13281775,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,0.784571378181141,0.0489746315694278,0.693720951753437,0.885366244916498,0.775466506965722,0.0484555692629956,0.679976631990132,0.871285802760447,-5.2088307675,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
OPA_PXR-048,Plate01,OCNT-2469110||NA|NA|TL-001,OCNT-2469110,,NA,NA,TL-001,OCNT-2469110,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-5.16419466190966,4.94966278635627e-05,-5.18538946071287,-4.30294392741771,-5.18538946071287,YES,NO,NO,UP,OCNT-2469110-TL-001_c6385.png,OCNT-2469110-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,651380.448627017,243835.968633383,395771.788567454,1282980.76542327,1.65352762282968,0.570922585860788,0.922634626832392,2.98380344386068,-4.306184095,0.23774123282758,-4.6186935,-3.66623425,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,1.20350588498364,0.563151619201185,0.612442597669121,2.68432864629055,0.333648926386664,0.0371480298650666,0.267912681542749,0.411040153480873,-4.306184095,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
OPA_PXR-048,Plate01,OCNT-2469074||NA|NA|TL-001,OCNT-2469074,,NA,NA,TL-001,OCNT-2469074,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-6.88865792552389,4.94966278635627e-05,-6.93711516074831,-5.9778800354622,-6.93711516074831,YES,NO,YES,UP,OCNT-2469074-TL-001_c6385.png,OCNT-2469074-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,626488.036094279,24522.3309720863,580339.314467672,677124.450057546,1.29110895607765,0.105510368762394,1.09963975924737,1.51766087178083,-5.8916844775,0.0563028579223964,-6.00244425,-5.77794,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,1.14603670037542,0.0592335020308146,1.03668459755175,1.26620671730199,1.13427768530705,0.0558695335589015,1.03003097295054,1.24748493697989,-5.8916844775,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
OPA_PXR-048,Plate01,OCNT-2469073||NA|NA|TL-001,OCNT-2469073,,NA,NA,TL-001,OCNT-2469073,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-6.61480968873731,4.94966278635627e-05,-6.61313560733457,-5.68348612319863,-6.61313560733457,YES,NO,YES,UP,OCNT-2469073-TL-001_c6385.png,OCNT-2469073-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,561028.754513629,22970.2964671819,519019.209041194,607691.280785299,1.38861240328224,0.115033072930167,1.17926834458948,1.63580480457917,-5.68769068,0.0548056793604471,-5.79242475,-5.57133825,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,0.994941343857544,0.0554134094018331,0.894501010363399,1.10900608810477,0.980391260278854,0.0517523026848581,0.885078130793309,1.08618439863443,-5.68769068,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
OPA_PXR-048,Plate01,OCNT-2469056||NA|NA|TL-001,OCNT-2469056,,NA,NA,TL-001,OCNT-2469056,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-7.30727020290571,4.94966278635627e-05,-7.32769941263505,-6.31347538701962,-7.32769941263505,YES,NO,YES,UP,OCNT-2469056-TL-001_c6385.png,OCNT-2469056-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,587906.894767136,20186.5144757568,550137.574458551,628155.871225911,1.24883361333668,0.103864497913832,1.06670189773414,1.47846654832791,-6.2763551425,0.0537476843852262,-6.377999,-6.16528175,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,1.05699643741794,0.0497603603333731,0.962717891439352,1.15765752080463,1.05224475932662,0.0485869817517261,0.959609566579664,1.15038770271536,-6.2763551425,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
OPA_PXR-048,Plate01,OCNT-2469109||NA|NA|TL-001,OCNT-2469109,,NA,NA,TL-001,OCNT-2469109,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-5.90716243102387,4.94966278635627e-05,-5.91553960778175,-4.94831941651803,-5.91553960778175,YES,NO,NO,UP,OCNT-2469109-TL-001_c6385.png,OCNT-2469109-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,572817.917985593,53192.6346896658,492000.034739937,694720.187181043,1.33428946404996,0.150452362671788,1.07384733142525,1.65805815057869,-4.9367383825,0.106405176166329,-5.11472275,-4.70549925,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,1.0221436234669,0.12366251040383,0.832226023701689,1.30553717889942,0.879818849482626,0.0577339946906971,0.773592807775387,0.999776791826819,-4.9367383825,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
OPA_PXR-048,Plate01,OCNT-2469049||NA|NA|TL-001,OCNT-2469049,,NA,NA,TL-001,OCNT-2469049,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,8,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-6.43223973355425,2.53664089422288e-05,-6.24060340016239,-4.46043056641385,-6.24060340016239,YES,YES,NO,UP,OCNT-2469049-TL-001_c6385.png,OCNT-2469049-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,433497.251509991,57317.3318931258,384457.968289178,600226.388820452,0.887530491301238,0.109835689949667,0.725606055165717,1.15130234550008,-4.97093249,0.209410849915699,-5.3191455,-4.46852225,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,0.700620650190551,0.133327738723669,0.58306358520964,1.08640118948224,0.411846213005354,0.0383240122575326,0.343374154274471,0.493280821273185,-4.97093249,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
OPA_PXR-048,Plate01,OCNT-2469086||NA|NA|TL-001,OCNT-2469086,,NA,NA,TL-001,OCNT-2469086,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-5.74803955064698,4.94966278635627e-05,-5.63924720209053,-4.74019953449776,-5.63924720209053,YES,NO,NO,UP,OCNT-2469086-TL-001_c6385.png,OCNT-2469086-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,414682.688003603,21680.2324034715,384710.88775918,467003.42385542,1.81260192589586,0.255990227643845,1.39581285347573,2.37937926429821,-5.029133155,0.0712812753200221,-5.15262,-4.873646,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,0.657115370126979,0.0513174473997382,0.584424580516623,0.783202111372527,0.620402132777733,0.0363792622921099,0.560346072995942,0.702401255968645,-5.029133155,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
OPA_PXR-048,Plate01,OCNT-2469085||NA|NA|TL-001,OCNT-2469085,,NA,NA,TL-001,OCNT-2469085,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-6.16269011456746,4.94966278635627e-05,-6.23528537681634,-5.17548259973549,-6.23528537681634,YES,NO,NO,UP,OCNT-2469085-TL-001_c6385.png,OCNT-2469085-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,649606.956878841,51887.6520813945,563891.00312284,768335.491801843,1.16153156346324,0.121852292943746,0.947951243562973,1.42093070647618,-5.049785945,0.0986607383462628,-5.220462,-4.82663175,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,1.19936036842309,0.120669488748252,1.00108155996781,1.47125768617908,1.04370210871412,0.0628264708578404,0.927225354972474,1.17121047775396,-5.049785945,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
OPA_PXR-048,Plate01,OCNT-2469060||NA|NA|TL-001,OCNT-2469060,,NA,NA,TL-001,OCNT-2469060,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-8.22501622763996,2.19147892472161e-05,-8.31429545536358,-6.75342730697073,-8.31429545536358,YES,YES,UNKNOWN,UP,OCNT-2469060-TL-001_c6385.png,OCNT-2469060-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,635308.810584602,28104.2906736759,583085.484739148,694500.494043198,0.788406851034224,0.05342648152671,0.711168066718443,0.909215809676075,-6.595898275,0.0820325121566874,-6.75310625,-6.433939,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,1.16641887901221,0.0676091785942634,1.04157267365861,1.30647835915435,1.11234125921715,0.0579485593072414,1.00282542341972,1.23207457466369,-6.595898275,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
OPA_PXR-048,Plate01,OCNT-2469042||NA|NA|TL-001,OCNT-2469042,,NA,NA,TL-001,OCNT-2469042,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-6.00196801691951,2.87311694322022e-05,-5.88305656239442,-4.7925343931828,-5.88305656239442,YES,YES,NO,UP,OCNT-2469042-TL-001_c6385.png,OCNT-2469042-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,430019.649134237,51381.6304666049,384779.238656699,576981.098432453,1.45802004946947,0.203174199220952,1.09021042980316,1.87571045247698,-5.1079879,0.116061487574537,-5.26022175,-4.77916425,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,0.692537707147426,0.119282281278255,0.582284001017507,1.03757352195694,0.546147535157146,0.04553078465407,0.466953868895285,0.645589478702514,-5.1079879,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
OPA_PXR-048,Plate01,OCNT-2469068||NA|NA|TL-001,OCNT-2469068,,NA,NA,TL-001,OCNT-2469068,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-6.41766163783031,4.94966278635627e-05,-6.33715833030633,-5.49226849937504,-6.33715833030633,YES,NO,YES,UP,OCNT-2469068-TL-001_c6385.png,OCNT-2469068-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,449956.072044011,17954.9225171781,417172.507105217,486152.865411764,1.75671497387938,0.206111705935084,1.41051157122842,2.19969807557467,-5.6800617425,0.0493459161572571,-5.772582,-5.577816,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,0.738537026594749,0.0432288554942376,0.659456322196377,0.826081587936295,0.733649926431309,0.0424260591156591,0.654923458066481,0.818408122396517,-5.6800617425,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
