plate	channel	row	col	molecule_name	batch_name	chem_id	chem_m	compound_class	luci	corrected	luci_norm	efdr	cell_line
Plate01	Luminescence	D	16	OCNT-2469092	TL-001	OCNT-2469092||NA|NA|TL-001	4.120262213495243e-8	Library	119137	NA	-0.025290980256464413	NA	c6385
Plate01	Luminescence	D	17	OCNT-2469054	TL-001	OCNT-2469054||NA|NA|TL-001	4.120262213495243e-8	Library	166419	NA	0.08377483649697623	NA	c6385
Plate01	Luminescence	D	18	OCNT-2469058	TL-001	OCNT-2469058||NA|NA|TL-001	4.120262213495243e-8	Library	105242	NA	-0.05734270234497683	NA	c6385
Plate01	Luminescence	D	19	OCNT-2469048	TL-001	OCNT-2469048||NA|NA|TL-001	4.120262213495243e-8	Library	135400	NA	0.012223028834970178	NA	c6385
Plate01	Luminescence	D	21	OCNT-2469116	TL-001	OCNT-2469116||NA|NA|TL-001	4.120262213495243e-8	Library	139167	NA	0.02091240178260826	NA	c6385
Plate01	Luminescence	D	22	OCNT-2469097	TL-001	OCNT-2469097||NA|NA|TL-001	4.120262213495243e-8	Library	111118	NA	-0.043788480035361704	NA	c6385
Plate01	Luminescence	D	23	OCNT-2469083	TL-001	OCNT-2469083||NA|NA|TL-001	4.120262213495243e-8	Library	104187	NA	-0.05977628038048453	NA	c6385
Plate01	Luminescence	D	24	OCNT-2469110	TL-001	OCNT-2469110||NA|NA|TL-001	4.120262213495243e-8	Library	125984	NA	-0.009496943470566756	NA	c6385
Plate01	Luminescence	D	27	OCNT-2469074	TL-001	OCNT-2469074||NA|NA|TL-001	1.541270496713884e-8	Library	115211	NA	-0.034347119941207094	NA	c6385
Plate01	Luminescence	D	28	OCNT-2469073	TL-001	OCNT-2469073||NA|NA|TL-001	1.541270496713884e-8	Library	99622	NA	-0.07030640714076253	NA	c6385
Plate01	Luminescence	D	29	OCNT-2469056	TL-001	OCNT-2469056||NA|NA|TL-001	1.541270496713884e-8	Library	110052	NA	-0.04624743187029217	NA	c6385
Plate01	Luminescence	D	30	OCNT-2469109	TL-001	OCNT-2469109||NA|NA|TL-001	1.541270496713884e-8	Library	102133	NA	-0.06451426074535023	NA	c6385
Plate01	Luminescence	D	31	OCNT-2469049	TL-001	OCNT-2469049||NA|NA|TL-001	1.541270496713884e-8	Library	94088	NA	-0.08307173495924629	NA	c6385
Plate01	Luminescence	D	32	OCNT-2469086	TL-001	OCNT-2469086||NA|NA|TL-001	1.541270496713884e-8	Library	94260	NA	-0.08267498100464186	NA	c6385
Plate01	Luminescence	D	33	OCNT-2469085	TL-001	OCNT-2469085||NA|NA|TL-001	1.541270496713884e-8	Library	115713	NA	-0.03318915200393226	NA	c6385
Plate01	Luminescence	D	35	OCNT-2469060	TL-001	OCNT-2469060||NA|NA|TL-001	1.541270496713884e-8	Library	162252	NA	0.0741627799339804	NA	c6385
Plate01	Luminescence	D	37	OCNT-2469042	TL-001	OCNT-2469042||NA|NA|TL-001	1.541270496713884e-8	Library	102127	NA	-0.06452810099958044	NA	c6385
Plate01	Luminescence	D	38	OCNT-2469068	TL-001	OCNT-2469068||NA|NA|TL-001	1.541270496713884e-8	Library	97454	NA	-0.07530735233600531	NA	c6385
Plate01	Luminescence	D	39	OCNT-2469114	TL-001	OCNT-2469114||NA|NA|TL-001	1.541270496713884e-8	Library	93974	NA	-0.08333469978962336	NA	c6385
Plate01	Luminescence	D	40	OCNT-2469031	TL-001	OCNT-2469031||NA|NA|TL-001	1.541270496713884e-8	Library	94981	NA	-0.08101184378795843	NA	c6385
Plate01	Luminescence	D	42	OCNT-2469050	TL-001	OCNT-2469050||NA|NA|TL-001	1.541270496713884e-8	Library	129494	NA	-0.001400394745796353	NA	c6385
Plate01	Luminescence	E	6	OCNT-2469051	TL-001	OCNT-2469051||NA|NA|TL-001	1.648104885398098e-7	Library	185969	NA	0.12887099819761885	NA	c6385
Plate01	Luminescence	E	8	OCNT-2469065	TL-001	OCNT-2469065||NA|NA|TL-001	1.648104885398098e-7	Library	172384	NA	0.09753435591100897	NA	c6385
Plate01	Luminescence	E	10	OCNT-2469071	TL-001	OCNT-2469071||NA|NA|TL-001	1.648104885398098e-7	Library	209184	NA	0.18242124852398242	NA	c6385
Plate01	Luminescence	E	11	OCNT-2469080	TL-001	OCNT-2469080||NA|NA|TL-001	1.648104885398098e-7	Library	176265	NA	0.10648669368902405	NA	c6385
Plate01	Luminescence	E	12	OCNT-2318616	TL-001	OCNT-2318616||NA|NA|TL-001	1.648104885398098e-7	Library	175523	NA	0.10477511558253354	NA	c6385
Plate01	Luminescence	E	13	OCNT-2469118	TL-001	OCNT-2469118||NA|NA|TL-001	1.648104885398098e-7	Library	154918	NA	0.05724537584638352	NA	c6385
Plate01	Luminescence	E	15	OCNT-2469093	TL-001	OCNT-2469093||NA|NA|TL-001	1.648104885398098e-7	Library	144089	NA	0.032266023669593476	NA	c6385
Plate01	Luminescence	E	16	OCNT-2469092	TL-001	OCNT-2469092||NA|NA|TL-001	1.648104885398098e-7	Library	126669	NA	-0.007916847779265348	NA	c6385
Plate01	Luminescence	E	17	OCNT-2469054	TL-001	OCNT-2469054||NA|NA|TL-001	1.648104885398098e-7	Library	244203	NA	0.263199892339573	NA	c6385
Plate01	Luminescence	E	18	OCNT-2469058	TL-001	OCNT-2469058||NA|NA|TL-001	1.648104885398098e-7	Library	136713	NA	0.015251737802384424	NA	c6385
Plate01	Luminescence	E	19	OCNT-2469048	TL-001	OCNT-2469048||NA|NA|TL-001	1.648104885398098e-7	Library	150267	NA	0.04651687210880423	NA	c6385
